
u271  , 情难控romantic  , 性别：女  , 年龄：15-19岁  , 地区：北京市 朝阳区  , 氧分：109分  , 经验值：99
u272  , 粑粑  , 性别：女  , 年龄：0  , 地区：   , 氧分：5分  , 经验值：0
u274  , 万里长城  , 性别：女  , 年龄：0  , 地区：   , 氧分：42分  , 经验值：37
u275  , 贝丝  , 性别：女  , 年龄：31-35岁  , 地区：河北省 秦皇岛市  , 氧分：571分  , 经验值：439
u276  , 埋藏心底  , 性别：女  , 年龄：0  , 地区：   , 氧分：5分  , 经验值：0
u277  , 郤钰颜  , 性别：女  , 年龄：0  , 地区：   , 氧分：181分  , 经验值：91
u278  , 黑暗女王  , 性别：女  , 年龄：0  , 地区：   , 氧分：56分  , 经验值：51
u279  , 流氓兔子  , 性别：女  , 年龄：15-19岁  , 地区：北京市 美国  , 氧分：35分  , 经验值：81
u280  , 女霸王  , 性别：女  , 年龄：0  , 地区：   , 氧分：62分  , 经验值：58
u281  , 玫瑰花  , 性别：女  , 年龄：0  , 地区：   , 氧分：153分  , 经验值：148
u282  , 小林妖  , 性别：女  , 年龄：0  , 地区：   , 氧分：80分  , 经验值：76
u283  , 混血的感觉  , 性别：女  , 年龄：20-25岁  , 地区：广东省 深圳市  , 氧分：840分  , 经验值：483
u284  , lily  , 性别：女  , 年龄：0  , 地区：   , 氧分：7分  , 经验值：2
u285  , shuying  , 性别：女  , 年龄：0  , 地区：   , 氧分：7分  , 经验值：2
u286  , xiaoxiao  , 性别：女  , 年龄：0  , 地区：   , 氧分：5分  , 经验值：0
u287  , wldbs  , 性别：女  , 年龄：0  , 地区：   , 氧分：5分  , 经验值：0
u288  , 梦想  , 性别：女  , 年龄：26-30岁  , 地区：安徽省 合肥市  , 氧分：251分  , 经验值：246
u289  , 可口可乐  , 性别：女  , 年龄：26-30岁  , 地区：辽宁省 丹东市  , 氧分：56分  , 经验值：51
u290  , Americano  , 性别：女  , 年龄：26-30岁  , 地区：安徽省 合肥市  , 氧分：686分  , 经验值：511
u291  , 我是我  , 性别：女  , 年龄：0  , 地区：   , 氧分：53分  , 经验值：48
u292  , 难道不是你妈  , 性别：女  , 年龄：15-19岁  , 地区：河北省 唐山市  , 氧分：108分  , 经验值：103
u293  , Candy  , 性别：女  , 年龄：0  , 地区：   , 氧分：157分  , 经验值：152
u294  , 花落人亡  , 性别：女  , 年龄：20-25岁  , 地区：北京市 东城区  , 氧分：291分  , 经验值：245
u295  , 你的谎言  , 性别：女  , 年龄：0  , 地区：   , 氧分：39分  , 经验值：34
u296  , 子淇benben  , 性别：女  , 年龄：0  , 地区：   , 氧分：5分  , 经验值：0
u297  , levin  , 性别：女  , 年龄：0  , 地区：北京市 北京市  , 氧分：88分  , 经验值：102
u298  , 美丽小叶草  , 性别：女  , 年龄：0  , 地区：   , 氧分：5分  , 经验值：0
u299  , 小笨蛋  , 性别：女  , 年龄：0  , 地区：   , 氧分：5分  , 经验值：0
u300  , Mini  , 性别：女  , 年龄：0  , 地区：   , 氧分：75分  , 经验值：70
u301  , 牛牛  , 性别：女  , 年龄：0  , 地区：   , 氧分：5分  , 经验值：0
u302  , 杨已然  , 性别：女  , 年龄：0  , 地区：   , 氧分：5分  , 经验值：0
u303  , 瓜子脸  , 性别：女  , 年龄：0  , 地区：   , 氧分：419分  , 经验值：407
u304  , 姓李博哈  , 性别：女  , 年龄：0  , 地区：   , 氧分：144分  , 经验值：134
